No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
1,lebih mudah tdak perlu antri lama,mudah antri,positif,positif,positif
2,"cukup membantu,menghemat waktu,biaya dan mengurangi pungli..harusnya tilang etle juga bisa di selesaikan lewat online atau di gabung dengan pembayaran pajak tanpa harus di blokir karena harus repot buka blokir dll..",membantumenghemat waktubiaya kurang pungliharusnya tilang etle selesai online gabung bayar pajak blokir repot buka blokir dll,positif,positif,positif
3,"Mantap, dari tahun ke tahun semakin bagus pelayanannya. Mohon bisa ditambahkan, misalkan untuk 5 tahunan, atau lapor kendaraan sudah dijual. Terima kasih.",mantap bagus layan mohon tahun lapor kendara jual terima kasih,positif,positif,positif
4,sangat membantu sekali pembayaran pajak.tidak harus ke Samsat,bantu bayar pajaktidak samsat,positif,positif,positif
5,Sangat membantu untuk yang tidak ada waktu buat urus pajak kendaraan,bantu urus pajak kendara,positif,positif,positif
6,Indonesia belum siap kalo soal teknologi. aplikasi gak berguna. gagal terus,indonesia teknologi aplikasi guna gagal,negatif,negatif,negatif
7,"Apk macam apa ini, untuk Verifikasi foto di KTP harus sama persis dengan foto Profil,,, foto KTP diambil waktu usia belasan dan foto profil diambil di usia hampir 40 tahun apa bisa sama... gak masuk akall",apk verifikasi foto ktp persis foto profil foto ktp ambil usia bas foto profil ambil usia masuk akall,negatif,negatif,negatif
8,"yaampun cuma mau cek aja loh kok ribet banget, mana bukan mobil saya jg, hadeh, ke aplikasi sebelah malah langsung muncul,",yaampun cek loh ribet banget mobil hadeh aplikasi belah langsung muncul,negatif,negatif,negatif
9,"saya sudah bayar tapi gagal tidak bisa di buka ada notif Gagal Layanan tidak tersedia, silahkan coba beberapa saat lagi atau hubungi customer service pada live chat aplikasi. Mengerti",bayar gagal buka notif gagal layan sedia sila coba hubung customer service live chat aplikasi erti,positif,negatif,negatif
10,terjamin dan bagus,jamin bagus,positif,positif,positif
11,ok lah,ok,positif,positif,positif
12,"bayar pajak lebih mudah, hanya saja harus di lakukan di jam kerja untuk transaksinya.. next semoga transaksi bisa dilakukan di luar jam kerja juga.. terima kasih",bayar pajak mudah laku jam kerja transaksi next moga transaksi jam kerja terima kasih,positif,positif,positif
13,mantap semoga bermanfaat bapak/ibu terhormat,mantap moga manfaat bapakibu hormat,positif,positif,positif
14,"pengiriman dari jawa tengah cilacap ke DKI 10 hari baru sampai, saran lebih di tingkatkan lgi pengiriman agar lebih cepat sampai",kirim jawa cilacap dki saran tingkat kirim cepat,positif,positif,positif
15,Good AppStore,good appstore,positif,positif,positif
16,gak bisa digunakan,nan,negatif,positif,positif
17,proses nya cepet banget mantap,proses ya cepat banget mantap,positif,positif,positif
18,"proses lumayan cepat, tapi pajak naik 🫠",proses lumayan cepat pajak,positif,positif,positif
